artist,country,birth date,death date,gender,number of artworks
Jennett Lam,United States,1911,1983,female,2
Jacqueline Lamba,France,1910,1993,female,2
Danuta Leszczynska-Kluza,Poland,1926,,female,2
Betty Clark Little,United States,,,female,2
Vreni Löwensberg,Switzerland,1912,1986,female,2
Ryah Ludins,United States,1896,1957,female,2
Wendy MacNeil,United States,1943,2016,female,2
Greta Magnusson Grossman,United States,1906,1999,female,2
Ann McCoy,United States,1946,,female,2
Wendy Meng,United States,1944,,female,2
Vera Bocayúva Mindlin,Brazil,1920,1985,female,2
Hilda Morris,United States,1911,1991,female,2
Jill Moser,United States,1956,,female,2
Marlow Moss,United Kingdom,1890,1958,female,2
Genevieve Naylor,United States,1914,1989,female,2
Futzie Nutzle,United States,1942,,female,2
María Catalína Otero Lamas,Argentina,1909,,female,2
Lil Picard,United States,1899,1994,female,2
Jacqueline Poncelet,United Kingdom,1947,,female,2
C. Emanuele Ponzio,Italy,1923,2015,female,2
Ursula Morley Price,United Kingdom,1936,,female,2
Natacha Rambova,United States,,,female,2
Marie Raymond,France,1908,1988,female,2
Nancy Reitkopf,United States,1938,,female,2
Barbara Sandler,United States,1943,,female,2
Moik Schiele,Switzerland,1938,1993,female,2
Elfi Schuselka,Austria,1940,,female,2
Robin Schwartz,United States,1957,,female,2
Mary L. Seaman,,,,female,2
Jody Shields,United States,1952,,female,2
Tamami Shima,Japan,1937,1999,female,2
Noemi Smilansky,Israel,1918,2016,female,2
Patricia Smith,United States,,,female,2
Janet Sobel,United States,1894,1968,female,2
Milly Steger,Germany,1881,1948,female,2
Carol Block Taback,United States,1941,1980,female,2
Mildred Thompson,United States,1935,2003,female,2
Leslie Thornton,United States,1951,,female,2
Henriette Tirman,France,1875,1952,female,2
Helen Torr,United States,1886,1967,female,2
Nina Tryggvadottir,,1913,1968,female,2
Ruth Velissaratos,United States,1887,,female,2
Constance Brenner Vieira Da Cunha,United States,1943,,female,2
Ruth Vollmer,United States,1903,1982,female,2
Sandy Walker,United States,1942,,female,2
Nicolaas Warb (Sophie Warburg),Netherlands,1906,1957,female,2
Hannah Weiner,United States,1928,1997,female,2
Princess Winifred,,,,female,2
Joan Witek,United States,1943,,female,2
Sylvia Wolf,United States,1957,,female,2
Mary Wykeham,United Kingdom,1909,1996,female,2
Llewellyn Xavier,United Kingdom,1942,,female,2
Ylla,United States,1911,1955,female,2
Lina Zervudaki,France,1890,1950,female,2
Tone Vigeland,Norway,1938,,female,2
Jeanne Jacquemin,France,1863,1938,female,2
Louise Breslau,Switzerland,1856,1927,female,2
Jeanne Granès,France,,1923,female,2
Rosalind Bengelsdorf,United States,1916,1979,female,2
Agnes Lyall,United States,1908,2013,female,2
Rimma Zanjevskaja,Germany,,,female,2
Helen Escobedo,Mexico,1934,2010,female,2
Mercedes Pardo,Venezuela,1922,2005,female,2
Penelope Bennett,United Kingdom,1938,,female,2
Maria Teresa Cuéllar Teyé,Colombia,1935,,female,2
Lucinda Childs,United States,1940,,female,2
Jane Comfort,United States,1945,,female,2
Jayme Odgers,United States,1939,,female,2
Martha Holt,United States,1945,,female,2
Betsey Johnson,United States,1942,,female,2
Sonia Katchian,United States,1947,,female,2
Stephanie Brody Lederman,United States,1939,,female,2
Jacqueline Livingston,United States,1943,,female,2
Joan Livingstone,United States,1948,,female,2
Judith McWillie,United States,1946,,female,2
Joan Nelsen,United States,1937,,female,2
Wenda Von Weise,United States,1941,,female,2
Izabella Gustowska,Poland,1948,,female,2
Antoinette Araco,United States,,,female,2
Else Alfelt,Denmark,1910,1974,female,2
Sonja Ferlov,Denmark,1911,1984,female,2
Mariana Cook,United States,1955,,female,2
Silvia Kolbowski,Argentina,1953,,female,2
Priscilla T. Forthman,United States,1958,,female,2
Markéta Luskacová,Czech Republic,1944,,female,2
Betty Woodman,United States,1930,2018,female,2
Emily Carter,United States,1960,,female,2
Nadia Coën,United States,1961,,female,2
Betzaida Concepción,United States,1977,,female,2
Sabrina Jones,United States,1960,,female,2
Marguerite van Cook,United States,1954,,female,2
Mary Kocol,United States,1962,,female,2
Alice von Pechmann,United States,1906,,female,2
Willa Percival,United States,,,female,2
Marlene McCarty,United States,1957,,female,2
Sara Sosnowy,United States,1957,,female,2
Elyn Zimmerman,United States,1945,,female,2
Karen Kunc,United States,1952,,female,2
Phyllis Bramson,United States,1941,,female,2
Jennifer Morla,United States,1955,,female,2
Florence Knoll,United States,1917,2019,female,2
Pietra Jansen,,,,female,2
Terry Evans,United States,1944,,female,2
Catherine Wagner,United States,1953,,female,2
Jessie Tarbox Beals,United States,1870,1942,female,2
Tria Giovan,United States,1961,,female,2
Ava Gerber,United States,1961,,female,2
Colette Alvarez Urbajtel,France,1934,,female,2
Amy Arbus,United States,1954,,female,2
Mariana Yampolsky,Mexico,1925,2002,female,2
Jill Baroff,United States,1954,,female,2
Elaine Reichek,United States,1943,,female,2
Belkis Ayón,Cuba,1967,1999,female,2
Allyson Strafella,United States,1969,,female,2
Gabriele Nothhelfer,Germany,1945,,female,2
Susan Unterberg,United States,1941,,female,2
Suzanne Duchamp,France,1889,1963,female,2
Polly Apfelbaum,United States,1955,,female,2
Diana Thater,United States,1962,,female,2
Betty Goodwin,Canada,1923,2008,female,2
Bonnie Maclean,United States,1949,2020,female,2
Margherita Manzelli,Italy,1968,,female,2
Estella Conwill Majozo,United States,1949,,female,2
Martine Barrat,France,1943,,female,2
Marilynn K. Yee/The New York Times,United States,1950,,female,2
Kikukawa Katsuyoshi,Japan,1935,,female,2
Maria Lagorio,,,,female,2
Kiki Kogelnik,Austria,1935,1997,female,2
Anne Waldman,United States,1945,,female,2
Annette Rosado,United States,1972,,female,2
Kimberly J. Holden,United States,1966,,female,2
Olga De Amaral,Colombia,1932,,female,2
Laylah Ali,United States,1968,,female,2
Jessica Stockholder,United States,1959,,female,2
Karin Apollonia Müller,Germany,1963,,female,2
Elsa Fischer-Treyden,Germany,1901,1995,female,2
Margret Hildebrand,Germany,1917,1998,female,2
Elena Bedumovaia,,,,female,2
Vera Ivanova,,,,female,2
Lotte Beese,Germany,1903,1988,female,2
Olga Deineko,Russia,1897,1970,female,2
Yva (Else Ernestine Neuländer),Germany,1900,1942,female,2
Gertrud Arndt,Germany,1903,2000,female,2
Kate Steinitz,United States,1889,1975,female,2
Maria Magdalena Campos-Pons,Cuba,1959,,female,2
Elinor Carucci,Israel,1971,,female,2
Jutta Sika,Austria,1877,1964,female,2
Jessica Diamond,United States,1957,,female,2
Susan Hambleton,United States,1940,,female,2
Li Yongbin,China,1963,,female,2
Kristin Lucas,United States,1968,,female,2
Evelene Wechsler,United States,,,female,2
Cheryl Donegan,United States,1962,,female,2
Agnès Varda,France,1928,2019,female,2
Carme Pinos,Spain,1954,,female,2
Stefana McClure,Ireland,1959,,female,2
Victoria Sambunaris,United States,1964,,female,2
Stephanie Forsythe,Canada,1970,,female,2
Nomathemba Tana,South Africa,1953,,female,2
Sue Williamson,South Africa,1941,,female,2
Carla Arocha,Venezuela,1961,,female,2
Nina Lola Bachhuber,Germany,1971,,female,2
Berlinde De Bruyckere,Belgium,1964,,female,2
Beth Campbell,United States,1971,,female,2
Dawn Clements,United States,1958,2018,female,2
Meredith Danluck,United States,1976,,female,2
Rachel Feinstein,United States,1971,,female,2
Franziska Furter,Switzerland,1972,,female,2
Judith Godwin,United States,,2021,female,2
Karen Heagle,United States,1974,,female,2
Kerstin Kartscher,Germany,1966,,female,2
Marie Luise Lebschik,Austria,1952,,female,2
Charlene Liu,,1975,,female,2
Ati Maier,Germany,1962,,female,2
Monica Majoli,United States,1963,,female,2
Carey Maxon,United States,1978,,female,2
Sally Osborn,,1961,,female,2
Clare Rojas,United States,1976,,female,2
Eva Rothschild,United Kingdom,1972,,female,2
Shinako Sato,Japan,1965,,female,2
Lucy Skaer,United Kingdom,1975,,female,2
Clare Stephenson,United Kingdom,1972,,female,2
Ena Swansea,United States,1966,,female,2
Lesley Vance,United States,1977,,female,2
Sarah Walker,United States,1963,,female,2
Michelle Segre,United States,1965,,female,2
Lorraine Gamman,United Kingdom,1957,,female,2
Jen DeNike,United States,1971,,female,2
Pia Gazzola,Italy,,,female,2
Cathrin Pichler,,,,female,2
Martine Aballea,United States,1950,,female,2
Johanna Billing,Sweden,1973,,female,2
Nancy Grossman,United States,1940,,female,2
Coren Sharples,United States,1965,,female,2
Nina Bovasso,United States,1965,,female,2
Joëlle Tuerlinckx,Belgium,1958,,female,2
Ruth Orkin,United States,1921,1985,female,2
Beth B,United States,1955,,female,2
Cecelia Condit,United States,1947,,female,2
Berni Searle,South Africa,1964,,female,2
Dara Friedman,Germany,1968,,female,2
Louisiana Bendolph,United States,1960,,female,2
Mary Lee Bendolph,United States,1935,,female,2
Liz Deschenes,United States,1966,,female,2
Julia Lohmann,Germany,1977,,female,2
Lisa Strausfeld,United States,1964,,female,2
Jamie Isenstein,United States,1975,,female,2
Helen De Michiel,United States,1953,,female,2
Ulrike Rosenbach,Germany,1943,,female,2
Floria Sigismondi,Italy,,,female,2
Josephine Meckseper,Germany,1964,,female,2
Patty Chang,United States,1972,,female,2
Barbara Hammann,Germany,1945,,female,2
Haruhiko Shono,Japan,1960,,female,2
Ellen Spiro,United States,1964,,female,2
Gloria Camiruaga,Chile,1940,2006,female,2
Liang Yue,China,1979,,female,2
Sandra Llano-Mejia,Colombia,1951,,female,2
Rosa Loy,Germany,1958,,female,2
Clara Porset,Mexico,1895,1981,female,2
Unica Zürn,Germany,,1970,female,2
Roberta Bayley,United States,1950,,female,2
Majda Dobravec-Lajovic,,1931,2020,female,2
Kate Millett,United States,1934,2017,female,2
Sophie Tottie,Sweden,1964,,female,2
Margaret Macdonald,United Kingdom,1865,1933,female,2
Teresita Fernández,United States,1968,,female,2
Elizaveta Ignatovich,Russia,1903,1983,female,2
Mariah Robertson,United States,1975,,female,2
Helene Haasbauer-Wallrath,Switzerland,1885,1968,female,2
Nancy Azara,United States,1939,,female,2
Betsy Damon,United States,1940,,female,2
Lauren Ewing,United States,1946,,female,2
Diane Neumaier,United States,1946,,female,2
Athena Tacha,United States,1936,,female,2
Miriam Böhm,Germany,1972,,female,2
Inge Morath,Austria,1923,2002,female,2
Karen Finley,United States,1956,,female,2
Björk,,1965,,female,2
Ilene Segalove,United States,1950,,female,2
Manon de Boer,Netherlands,1966,,female,2
Elizabeth Hallenbeck,,,,female,2
Mary Ethel Thompson,,,,female,2
Lidy Prati,Argentina,1921,2008,female,2
Siv Helene Stangeland,Norway,1966,,female,2
Mariana Castillo Deball,Mexico,1975,,female,2
Hajra Waheed,Canada,1980,,female,2
Annemarie Heinrich,Germany,1912,2005,female,2
Emmy van Leersum,Netherlands,1930,1984,female,2
Shambhavi,India,1966,,female,2
Cami Stone,Belgium,1892,1975,female,2
Samella Lewis,United States,1923,2022,female,2
Noriko Ambe,Japan,1967,,female,2
Michele Abeles,United States,1977,,female,2
Zoe Crosher,United States,1975,,female,2
Loretta Fahrenholz,Germany,1981,,female,2
Janice Kerbel,Canada,1969,,female,2
Klára Tamás,United States,1946,,female,2
Lutz Bacher,United States,1952,2019,female,2
Jennie C. Jones,United States,1968,,female,2
Tina Weymouth,United States,1950,,female,2
Annett Zinsmeister,Germany,1967,,female,2
Alma Woodsey Thomas,United States,1891,1978,female,2
Bouchra Khalili,Morocco,1975,,female,2
Marina Pinsky,Russia,1986,,female,2
Alicja Szubert-Olszewska,Poland,,,female,2
Etel Adnan,United States,1925,2021,female,2
Margaret Watkins,Canada,1884,1969,female,2
Mary Curtis,,,,female,2
Marie Harnett,United Kingdom,1983,,female,2
Grega Košak,,,,female,2
Dona Ann McAdams,United States,1954,,female,2
Janice Yudell,,,,female,2
Barbara Degerman,,,,female,2
Helga Nykopp,,,,female,2
Joan Charysyn,United States,1946,,female,2
Tarsila do Amaral,Brazil,1886,1973,female,2
Aslı Çavuşoğlu,Turkey,1982,,female,2
Pamela Rosenkranz,Switzerland,1979,,female,2
Carlotta Corpron,United States,1901,1988,female,2
Cynthia Carlson,United States,1942,,female,2
Ketty La Rocca,Italy,1938,1976,female,2
Elfriede Stegemeyer,Germany,1908,1988,female,2
Amalia Pica,Argentina,1978,,female,2
Ekaterina Zernova,Russia,1900,1995,female,2
Joanna Piotrowska,Poland,1985,,female,2
Monika Correa,India,1938,,female,2
Silke Otto-Knapp,Germany,1970,2022,female,2
Meriem Bennani,Morocco,1988,,female,2
Coco Fusco,United States,1960,,female,2
Anne Imhof,Germany,1978,,female,2
Maria Bri-Bein,Russia,1892,1968,female,2
Nathlie Provosty,United States,1981,,female,2
Martha Tuttle,United States,1989,,female,2
Dulce Carneiro,Brazil,1929,2018,female,2
Barbara Mors,Brazil,1925,,female,2
Yente (Eugenia Crenovich),Argentina,1905,1990,female,2
Tsuruko Yamazaki,Japan,1925,2019,female,2
Sheryl Oppenheim,United States,1983,,female,2
Ruby Sky Stiler,United States,1979,,female,2
Gabrielle L’Hirondelle Hill,Canada,1979,,female,2
Suzy Lake,Canada,1947,,female,2
Ebecho Muslimova,United States,1984,,female,2
Althea McNish,United Kingdom,1924,2020,female,2
Meridel Rubenstein,United States,1948,,female,2
Helen Rae,United States,1938,2021,female,2
Kenturah Davis,United States,1984,,female,2
Barbara Rossi,United States,1940,2023,female,2
Sandra Mujinga,Norway,1989,,female,2
Lauren Halsey,United States,1987,,female,2
Sonia Gomes,Brazil,1948,,female,2
Sheelasha Rajbhandari,,1988,,female,2
Ami Lien,United States,1987,,female,2
Ulla Wiggen,Sweden,1942,,female,2
Elena Bortsova,,,,female,1
Nina Ivanova,,,,female,1
Alisa Poret,,,,female,1
Nina Soboleva,,,,female,1
Sofia Zaklikovskaia,,,,female,1
Liz Rideal,United Kingdom,1954,,female,1
Kate Blacker,United Kingdom,1955,,female,1
Marta Maria Pérez Bravo,Cuba,1959,,female,1
Priska Von Martin,Germany,1912,1982,female,1
Baroness Elsa von Freytag-Loringhoven,Germany,1874,1927,female,1
Monika Von Boch,Germany,1915,1993,female,1
Sandra Ramos,Cuba,1969,,female,1
Carmel Vitullo,United States,1925,,female,1
Alison Turnbull,Colombia,1956,,female,1
Anita Ventura,United States,,,female,1
Camille van den Brande,Netherlands,1966,,female,1
Harriet M. Veissi,United States,1903,,female,1
Dorothy Cross,Ireland,1956,,female,1
Sang-Ah Choi,,1971,,female,1
Sigríður Björnsdóttir,,1929,,female,1
Aida Vaisman,Argentina,,1940,female,1
Ulla af Ugglas,Sweden,1916,,female,1
Sarah Staton,,1961,,female,1
Laura Ford,United Kingdom,1961,,female,1
Lill Tschudi,Switzerland,1911,2004,female,1
Donna Tryon,United States,,,female,1
Tonita Peña,,,1949,female,1
Il'ia Mashkov,Russia,1881,1944,female,1
Helen Joy Weinberg,United States,1900,1994,female,1
Sofiia Nalepins'ka,,,,female,1
Marian Warzecha,Poland,1930,,female,1
Tat'iana Mavrina,,,,female,1
Evgeniia Evenbakh,Russia,1889,1981,female,1
Marianne Breslauer,Germany,1909,2001,female,1
Elizaveta Dorfman,,,,female,1
Jo Feiler,United States,1951,,female,1
Marie Wilson,United States,,2017,female,1
Marjorie Content,United States,1895,1984,female,1
Jaroslava Hatláková,Czech Republic,1904,1989,female,1
Irene Hoffmann,Germany,1903,1971,female,1
Younousse Sèye,Senegal,1940,,female,1
Evgeniia Spas'ka,,,,female,1
Mariia Kotliarevs'ka,,,,female,1
Frieda Gertrud Riess,Germany,1890,1957,female,1
Wanda Wulz,Italy,1903,1984,female,1
Chloe Cheese,United Kingdom,1952,,female,1
Breda Beban,,1952,2012,female,1
Irene Bayer-Hecht,United States,1898,1991,female,1
Gertrude LeRoy Brown,United States,1870,1934,female,1
Lore Feininger,Germany,1901,1991,female,1
Suzanne Bocanegra,United States,1957,,female,1
Tat’iana Glebova,,,,female,1
Irena Blühová,Slovak Republic,1904,1991,female,1
Melinda Morey,United States,1963,,female,1
Elizabeth Timberman,United States,1908,,female,1
Julie Roberts,United Kingdom,1963,,female,1
Betty James,United States,1918,2008,female,1
Julia Thecla,United States,1896,1973,female,1
Britt-Louise Sundell,Sweden,1928,,female,1
Gerda Strömberg,Sweden,,1960,female,1
Max Cole,United States,1937,,female,1
Thelma Johnson Streat,United States,1911,1959,female,1
Kendra Ferguson,United States,1946,,female,1
Cheryl Goldsleger,United States,1951,,female,1
Christine Hiebert,United States,1960,,female,1
Ann Ledy,United States,1952,,female,1
Julia Mangold,Germany,1966,,female,1
Laure Prouvost,France,1978,,female,1
Deborah Gottheil Nehmad,United States,1952,,female,1
Gloria Ortiz-Hernández,Colombia,1943,,female,1
Laurie Reid,United States,1964,,female,1
Susan Schwalb,United States,1944,,female,1
Joan Waltemath,United States,1953,,female,1
Petra Cortright,United States,1986,,female,1
Lindy Roy,South Africa,1963,,female,1
Marly Stone,United States,1944,,female,1
Marina Stern,United States,1928,2017,female,1
Inge Steckert,Germany,,,female,1
Elizabeth Sparhawk-Jones,United States,1885,1971,female,1
Victoria Gil,Spain,1963,,female,1
Solange Fabião,Brazil,1963,,female,1
Heike Baranowsky,Germany,1967,,female,1
Eve Sussman | Rufus Corporation,United States,,,female,1
Eve Sonneman,United States,1946,,female,1
Sandi Slone,United States,1939,,female,1
Carolien Vlieger,Netherlands,1975,,female,1
Clarissa Sligh,United States,1939,,female,1
Elizabeth A. Wilkes,United States,1945,,female,1
Deborah Adler,United States,1975,,female,1
Sigi Moeslinger,Austria,1968,,female,1
Tomoko Sawada,Japan,1977,,female,1
Galya Rosenfeld,Israel,1977,,female,1
Yuan Ruizhe,China,1997,,female,1
Hella Skowronski,United States,1905,1988,female,1
Nancy Skolos,United States,1955,,female,1
Sarai Sherman,United States,1922,,female,1
Dorota Jurczak,Poland,1978,,female,1
Sachiko Kazama,Japan,1972,,female,1
Musya Sheeler,United States,1908,1981,female,1
Nancy Ford Cones,United States,1869,1962,female,1
Susan Shaw,United States,1951,,female,1
Helen Marden,United States,1941,,female,1
Lynn Sexton,United States,,,female,1
Elena Serrano,Cuba,,,female,1
Amanda Knox Sather,United States,1975,,female,1
Kim Hoffmann,United States,1975,,female,1
Sara Shaughnessy,United States,1979,,female,1
Séraphine Louis,France,1864,1942,female,1
Nelly (Elli Sougioultzoglou-Seraidari),Greece,1899,1998,female,1
Suki Seokyang Kang,,1977,,female,1
Sandra Semchuk,Canada,1948,,female,1
Judy Seigel,United States,1930,2017,female,1
Doris Seidler,United States,1912,2010,female,1
Esti Schur,Israel,,,female,1
Rebecca Bird,United States,1973,,female,1
Marianna Schmidt,Canada,,,female,1
Katherine Schmidt,United States,1898,1978,female,1
Charlotte Schmidt,Germany,,,female,1
Regina Schmeken,Germany,1955,,female,1
Concetta Scaravaglione,United States,1900,1975,female,1
Beth Brideau,United States,1976,,female,1
Benita Sanders,Canada,1935,,female,1
Laura Aguilar,United States,1959,2018,female,1
Kathy Butterly,United States,1963,,female,1
Judithe Hernández,United States,1948,,female,1
Phoebe Unwin,United Kingdom,1979,,female,1
America Sanchez,Spain,1939,,female,1
Margit Ruoff,Germany,1937,,female,1
Nazgol Ansarinia,Iran,1979,,female,1
Xiomara De Oliver,Canada,1967,,female,1
Kirsten Deirup,United States,1980,,female,1
Dorothy Ruddick,United States,,2010,female,1
Carolina Caycedo,Colombia,1978,,female,1
Maria Cardoso,Colombia,1963,,female,1
Riba Rovira,Spain,,,female,1
Merg Ross,United States,1941,,female,1
Tamara Gayer,United States,1969,,female,1
Victoria Gitman,Argentina,1972,,female,1
Zarina Bhimji,Uganda,1963,,female,1
Laurie Rosenwald,United States,,,female,1
Clare Romano,United States,,2017,female,1
Ellen Cantor,United States,1963,2013,female,1
Christine Hill,United States,1968,,female,1
Louise Hopkins,United Kingdom,1965,,female,1
Mary Rodney,United States,,,female,1
Hulda Robbins,United States,1910,2010,female,1
Jun Iseyama,Japan,1975,,female,1
Pauline Riffaut,France,,,female,1
Rose B. Simpson,United States,1983,,female,1
Cara Romero,,1977,,female,1
Lucy Gunning,United Kingdom,1964,,female,1
Tatiana Parcero,Mexico,1967,,female,1
Nafiseh Riahi,Iran,1943,2000,female,1
Jeanne Reynal,United States,1903,1983,female,1
Kelly McLane,United States,1968,,female,1
Maria Reuter,Germany,1929,,female,1
Ethel Reed,United States,1876,,female,1
Fanny Rabel,Mexico,1922,2008,female,1
Gertrude Quastler,United States,1909,1963,female,1
Leah De Prizio,United States,1935,,female,1
Joanna Pousette-Dart,United States,1947,,female,1
Jane Poupelet,France,1878,1932,female,1
Helen Margaret Post,United States,1907,1979,female,1
Irene Poon,United States,1941,,female,1
Isabel Pons,Brazil,1912,2002,female,1
Linda Plotkin,United States,1938,,female,1
Jody Pinto,United States,1942,,female,1
Jane Piper,United States,1916,1991,female,1
Lauren Piperno,United States,1949,,female,1
Peggy Preheim,United States,1963,,female,1
Mary Walker Phillips,United States,1923,,female,1
Anne Tyng,United States,1920,2011,female,1
Herry Perry,United Kingdom,1893,1962,female,1
Yehudit Sasportas,Israel,1969,,female,1
Susan Philipsz,United Kingdom,1965,,female,1
Oliva Perotes,Spain,,,female,1
Eleanore Peduzzi-Riva,Italy,1936,,female,1
Mary Peck,United States,1952,,female,1
Bettina Sellmann,Germany,1971,,female,1
Betty Parsons,United States,1900,1982,female,1
Ann Parker,United States,1934,,female,1
Hally Pancer,United States,1961,,female,1
Marion Palfi,United States,1907,1978,female,1
Gabrielle Goliath,South Africa,1983,,female,1
Nora Speyer,United States,1923,,female,1
Nathalie Lawhead,United States,1983,,female,1
Christine Osinski,United States,1948,,female,1
Katja Strunz,Germany,1970,,female,1
Zilla Leutenegger,Switzerland,1968,,female,1
Josephine Taylor,United States,1977,,female,1
Latifa Echakhch,France,1974,,female,1
Barbara Olmsted,United States,1915,2013,female,1
Garrett Bradley,United States,1986,,female,1
Elizabeth Olds,United States,1897,1991,female,1
Lynne Woods Turner,United States,1951,,female,1
Hiroshi Omae,Japan,1938,,female,1
Hajime Ohigashi,Japan,,,female,1
Starr Ockenga,United States,1938,,female,1
Claudia Müller,Switzerland,1964,,female,1
Julia Müller,Switzerland,1965,,female,1
Ida O'Keeffe,United States,1889,1961,female,1
Christine Borland,United Kingdom,1965,,female,1
Greta Von Nessen,United States,1898,1978,female,1
Virginia Nepodal,United States,1914,2009,female,1
Gerda Mikhailova Nemenova,Russia,1905,1986,female,1
Carole Benzaken,France,1964,,female,1
Joan Nelson,United States,1958,,female,1
Elle-Mie Ejdrup Hansen,Denmark,1958,,female,1
Nina Chanel Abney,United States,1982,,female,1
Maria Jauhiainen,Finland,1971,,female,1
Stacy Benjamin,United States,1970,,female,1
Amy Schwartz,United States,1958,,female,1
Marsha Cottrell,United States,1964,,female,1
Reiko Tanabe,Japan,1934,,female,1
Hanneline Visnes,Norway,1972,,female,1
Gabriele Münter,Germany,1877,1962,female,1
Tomoko Takahashi,Japan,1966,,female,1
Maina-Miriam Munsky,Germany,1943,1999,female,1
Eliana Gerotto,Italy,1951,,female,1
Jeanne Silverthorne,United States,1950,,female,1
Daisy Youngblood,United States,1945,,female,1
Francesca Gabbiani,Canada,1965,,female,1
Deborah de Moulpied,United States,1933,,female,1
Yukiyo Matsushita,Japan,1970,,female,1
Maud Morgan,United States,1903,1999,female,1
Coosje van Bruggen,United States,1942,2009,female,1
Noriko Furunishi,Japan,1966,,female,1
Margaret Ann Moorman,United States,1948,,female,1
Claire Moore,United States,1917,1988,female,1
Melissa Miller,United States,1951,,female,1
Fumiko Miki,Japan,,,female,1
Melissa Meyer,United States,1947,,female,1
Elizabeth McLennan,Canada,,,female,1
Luisa Cevese Riedizioni,Italy,1955,,female,1
Amanda Levete,United Kingdom,1959,,female,1
Uli Aigner,Austria,1965,,female,1
Maria Thereza Alves,,,,female,1
Ruth Anderwald,Austria,1976,,female,1
Isabelle Arthuis,Belgium,1969,,female,1
Sule Attems,Turkey,1960,,female,1
Christy Astuy,United States,1959,,female,1
Fatih Aydogdu,Turkey,1963,,female,1
Christine Boyer,,,,female,1
Kathy McArdie,,,,female,1
Rosa Brückl,Austria,1970,,female,1
Anne Burdick,,,,female,1
Die Damen,,,,female,1
Mirjana Djordjevic,,,,female,1
Annika Eriksson,,,,female,1
Ayse Erkmen,Turkey,1949,,female,1
Marina Faust,,,,female,1
Amy Sillman,United States,1966,,female,1
Elisabeth Plank,,,,female,1
Renée Green,United States,1959,,female,1
Elisabeth Grübl,Austria,1961,,female,1
Maria Hahnenkamp,Austria,1959,,female,1
Susan Hapgood,United States,,,female,1
Elizabeth McFadden,United States,1912,1986,female,1
Leni Matthaei,Germany,1873,1981,female,1
Ann Veronica Janssens,,,,female,1
Anna Jermolaewa,Russia,1970,,female,1
Vera Matiukh,Russia,1912,,female,1
Sejla Kameric,Bosnia and Herzegovina,1976,,female,1
Kristen Corinne Masri,United States,1947,,female,1
Anna Kowalska,,,,female,1
Elke Krystufek,Austria,1970,,female,1
Cornelia Lauf,,,,female,1
Dolores Zinny,Argentina,1968,,female,1
Maria Martinez,United States,1887,1980,female,1
Michaela Math,Austria,1968,,female,1
Leonore Mau,Germany,1916,,female,1
Cornelia Mittendorfer,,,,female,1
Edith Payer,Austria,1975,,female,1
Beverly Buchanan,United States,1940,2015,female,1
Paola Pivi,Italy,1971,,female,1
Anne Steele Marsh,United States,1901,1995,female,1
L.A. Raeven,Netherlands,1971,,female,1
Dorothy F. Markle,United States,,,female,1
Bella Ban,,,,female,1
Naomi Tereza Salmon,Israel,1965,,female,1
Kim Sooja,,1957,,female,1
Andrea van der Straeten,,,,female,1
Ingeborg Strobl,Austria,1949,,female,1
Beatrix Sunkovsky,,,,female,1
Violet Suk,,,,female,1
Lois Weinberger,,,,female,1
Barbara Westman,,,,female,1
Beatrix Zobl,Austria,1970,,female,1
Dee Dee Halleck,,,,female,1
Tiona Nekkia McClodden,United States,1981,,female,1
Adriana Jadranka Maraž,,,2015,female,1
Linda van Deursen,Netherlands,1961,,female,1
Horit Herman Peled,Israel,,,female,1
Deborah Kelly,Australia,,,female,1
Ellen Moffat,,,,female,1
Jill Dawsey,,,,female,1
Mary Jo Walters,,,,female,1
Katerina Seda,,,,female,1
Kirsten Pieroth,Germany,,,female,1
Silvie Vondrejcova,,,,female,1
Julie Ryan,,,,female,1
Alexandra Domanovic,,,,female,1
Sarah Schneider,,,,female,1
Roswitha Schuller,Austria,1984,,female,1
Johanna Rille,Germany,1980,,female,1
Marianne Kampel,,,,female,1
Caroline E. Heider,,,,female,1
Natasa Berk,,,,female,1
Karin Aue,Austria,1981,,female,1
Miriam Kathrein,,,,female,1
Magda Tothova,Slovak Republic,1979,,female,1
Andrea Starl,,,,female,1
Katharina Ivansich,Austria,1983,,female,1
Irma Tulek,,,,female,1
Julia Seyr,,,,female,1
Sofia Goscinski,,,,female,1
Katharina Hager,,,,female,1
Julia Weist,United States,1984,,female,1
Maria Crista,,,,female,1
Jordan Casteel,United States,1989,,female,1
Lindsay Seers,Mauritius,1966,,female,1
Barbara Bosworth,United States,1953,,female,1
Sally Mann,United States,1951,,female,1
Orian Barki,Israel,1985,,female,1
Jocelyne Coster,Belgium,1955,,female,1
Jeanne Mammen,Germany,1890,1976,female,1
Caroline Lucas,United Kingdom,1886,1967,female,1
Jean Locey,United States,1944,,female,1
Rhonda Abrams,Canada,1960,,female,1
Ann Leda Shapiro,United States,1946,,female,1
Bertha Evelyn Jaques,United States,1863,1941,female,1
Shirley Clarke,United States,1919,1997,female,1
Sonya Noskowiak,United States,1900,1975,female,1
Carol Lipper,United States,,,female,1
Hermine Freed,United States,1940,1998,female,1
Linda Lindroth,United States,1946,,female,1
Francesca Lindh,Finland,1931,,female,1
Mary Lucier,United States,1944,,female,1
Linda Montano,United States,1942,,female,1
Linda Lindeberg,United States,1915,1973,female,1
Susan Raymond,United States,1945,,female,1
Shelly Silver,United States,1957,,female,1
