artist,country,birth date,death date,gender,number of artworks
Jo Spence,United Kingdom,1934,1992,female,13
Seher Shah,Pakistan,1975,,female,13
Anna Andreeva,Russia,,2008,female,13
Lydia Naumova,Russia,1902,1986,female,13
Joyce Sills,United States,1940,,female,13
Mako Idemitsu,Japan,1940,,female,13
Shelley McNamara,Ireland,1952,,female,13
Liisa Roberts,United States,1969,,female,13
Mary Fedden,United Kingdom,1915,2012,female,13
Silvia Bächli,Switzerland,1956,,female,13
Emmy Andriesse,Netherlands,1914,1953,female,13
R. H. Quaytman,United States,1961,,female,13
Diana Michener,United States,1940,,female,13
Suzan Frecon,United States,1941,,female,13
Lee Krasner,United States,1908,1984,female,13
Sandra Payne,United States,,2021,female,13
Lucie Rie,United Kingdom,1902,1995,female,13
Yvonne Farrell,Ireland,1951,,female,13
Yto Barrada,France,1971,,female,13
Alice Neel,United States,1900,1984,female,13
Anna Boghiguian,Egypt,1946,,female,12
Hannah Höch,Germany,1889,1978,female,12
Lois Conner,United States,1951,,female,12
Sari Dienes,United States,1898,1992,female,12
Mariette Pathy Allen,Egypt,1940,,female,12
Hannah Starkey,United Kingdom,1971,,female,12
Ann Hamilton,United States,1956,,female,12
Amy Cutler,United States,1974,,female,12
Florence Henri,Switzerland,1893,1982,female,12
Liza Lou,United States,1969,,female,12
Dora Maurer,Hungary,1937,,female,12
Nye Ffarrabas (formerly Bici Forbes and Bici Forbes Hendricks),United States,1932,,female,12
Lotte Jacobi,United States,1896,1990,female,12
Sophie Alex,Germany,1967,,female,12
Georgia O'Keeffe,United States,1887,1986,female,12
Paz Errazuriz,Chile,1944,,female,12
Honoré Sharrer,United States,1920,2009,female,12
Mabel Dwight,United States,1876,1955,female,12
Marion Post Wolcott,United States,1910,1990,female,12
Ana Maria Pacheco,Brazil,1943,,female,12
Lisette Model,Austria,1906,1983,female,12
Rosângela Rennó,Brazil,1962,,female,12
Laurene Leon Boym,United States,1964,,female,12
Valentine Hugo,France,1890,1968,female,12
Sibylle Bergemann,Germany,1941,2010,female,12
Dolly Perutz,United States,1908,1979,female,12
Fiona Raby,United Kingdom,1963,,female,12
Tanyth Berkeley,United States,1969,,female,12
Sheila Isham,United States,1927,,female,11
Moyra Davey,Canada,1958,,female,11
Claudette Schreuders,South Africa,1973,,female,11
Anne Truitt,United States,1921,2004,female,11
Lisa Fromartz,United States,1946,,female,11
Olivia Parker,United States,1941,,female,11
Jay DeFeo,United States,1929,1989,female,11
Denise Green,Australia,1946,,female,11
Katya Sander,Denmark,1970,,female,11
